Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2790.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2790.0;0.20;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;2790.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2790.0;0.21;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;2790.0;0.00;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2790.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2790.0;0.20;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;2790.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2790.0;0.21;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;2790.0;0.00;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2790.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Утеплитель_150мм;470.0;2790.0;0.20;150.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
BRU_Парапет_Утеплитель_100мм;470.0;2790.0;0.13;100.0;Этаж 08 (отм. +22,200);Секция 2;Утепление штукатурного фасада
ADSK_Бетон_В25 160;470.0;2790.0;0.21;160.0;Этаж 08 (отм. +22,200);Секция 2;Монолитная стена
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;50.0;2790.0;0.00;10.0;Этаж 08 (отм. +22,220) Кровля;Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Зернистая_Бежевый цвет;520.0;2790.0;0.01;10.0;Этаж 08 (отм. +22,200);Секция 2;Штукатурка фасадная
