Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_Отделка_МОП_ЖБ_15мм;3000.000;6740.000;0.260;15.000;Этаж 04 (отм. +10,050);Секция 6;Штукатурка черновая
BRU_Отделка_МОП_ЖБ_15мм;3000.000;6740.000;0.260;15.000;Этаж 05 (отм. +13,050);Секция 6;Штукатурка черновая
BRU_Отделка_МОП_ЖБ_15мм;3000.000;6740.000;0.260;15.000;Этаж 03 (отм. +7,050);Секция 6;Штукатурка черновая
BRU_Отделка_МОП_ЖБ_15мм;2820.000;6740.000;0.241;15.000;Этаж 06 (отм. +16,050);Секция 6;Штукатурка черновая
BRU_Отделка_МОП_ЖБ_15мм;2820.000;6740.000;0.226;15.000;Этаж 07 (отм. +19,050);Секция 6;Штукатурка черновая
BRU_ФасадШтукатурный_Штукатурка_10мм_Palazzo25;365.000;995.000;0.003;10.000;Этаж 08 (отм. +22,050);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Palazzo25;365.000;995.000;0.003;10.000;Этаж 03 (отм. +7,050);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Palazzo25;365.000;995.000;0.003;10.000;Этаж 04 (отм. +10,050);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Palazzo25;365.000;995.000;0.003;10.000;Этаж 05 (отм. +13,050);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Palazzo25;365.000;995.000;0.003;10.000;Этаж 07 (отм. +19,050);Секция 2;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_Palazzo25;365.000;995.000;0.003;10.000;Этаж 06 (отм. +16,050);Секция 2;Штукатурка фасадная
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 1;Утепление стен подвала
BRU_ФасадЦоколь_Утеплитель_150мм;300.000;2310.000;0.104;150.000;Этаж 01 (отм. -0,150);Секция 4;Утепление стен подвала
