Тип;Неприсоединенная высота;Длина;Объем;Толщина;ADSK_Этаж;ADSK_Номер секции;Группа модели
BRU_ЛЛУ_160;2350;4035;1.52;160;Этаж 10 (отм. +28,050);Секция 5;Монолитная стена
BRU_ЛЛУ_160;2350;1460;0.55;160;Этаж 10 (отм. +28,050);Секция 5;Монолитная стена
BRU_ЛЛУ_160;2350;4420;1.66;160;Этаж 10 (отм. +28,050);Секция 6;Монолитная стена
BRU_ЛЛУ_160;2350;4420;1.66;160;Этаж 10 (отм. +28,050);Секция 3;Монолитная стена
BRU_ЛЛУ_160;2350;4045;1.52;160;Этаж 10 (отм. +28,050);Секция 4;Монолитная стена
BRU_ЛЛУ_160;2350;1460;0.55;160;Этаж 10 (отм. +28,050);Секция 4;Монолитная стена
BRU_Перегородка_БлокКерамический_250мм;2350;22895;13.38;250;Этаж 10 (отм. +28,050);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический_250мм;2350;12680;7.45;250;Этаж 10 (отм. +28,050);Секция 5;Внутренняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_100мм;3500;23120;8.09;100;Этаж 10 (отм. +28,050);Секция 5;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_100мм;3500;12680;4.44;100;Этаж 10 (отм. +28,050);Секция 5;Утепление штукатурного фасада
BRU_Перегородка_БлокКерамический_250мм;2350;12020;7.14;250;Этаж 10 (отм. +28,050);Секция 5;Внутренняя стена. Кладка
BRU_Перегородка_БлокКерамический_250мм;2350;4750;2.23;250;Этаж 10 (отм. +28,050);Секция 5;Внутренняя стена. Кладка
BRU_ФасадШтукатурный_Утеплитель_100мм;3467;4750;1.42;100;Этаж 10 (отм. +28,050);Секция 5;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_100мм;3500;3785;1.32;100;Этаж 10 (отм. +28,050);Секция 5;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_100мм;3487;1270;0.44;100;Этаж 10 (отм. +28,050);Секция 5;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Утеплитель_100мм;3500;11895;4.16;100;Этаж 10 (отм. +28,050);Секция 5;Утепление штукатурного фасада
BRU_ФасадШтукатурный_Штукатурка_10мм_КоричневыйЦвет;3067;4660;0.12;10;Этаж 10 (отм. +28,050);Секция 5;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_КоричневыйЦвет;3100;3785;0.12;10;Этаж 10 (отм. +28,050);Секция 5;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_КоричневыйЦвет;3520;1380;0.05;10;Этаж 10 (отм. +28,050);Секция 5;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_КоричневыйЦвет;3100;11795;0.37;10;Этаж 10 (отм. +28,050);Секция 5;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_КоричневыйЦвет;3100;23120;0.72;10;Этаж 10 (отм. +28,050);Секция 5;Штукатурка фасадная
BRU_ФасадШтукатурный_Штукатурка_10мм_КоричневыйЦвет;3100;12790;0.40;10;Этаж 10 (отм. +28,050);Секция 5;Штукатурка фасадная
ADSK_Бетон_В25_250;950;22770;5.41;250;Этаж 10 (отм. +28,050);Секция 5;Монолитная стена
